VendorId,PickUpDateTime,DropOffDateTime,PickUpLocationId,DropOffLocationId,PassengerCount,TripDistance,TipAmount,TotalAmount
1,05/01/2021 12:39,05/01/2021 12:46,236,162,0,1.3,2.15,12.95
1,05/01/2021 12:42,05/01/2021 12:46,75,75,0,0.9,0.0,6.3
1,05/01/2021 12:19,05/01/2021 12:31,75,152,0,2.3,0.0,11.3
1,05/01/2021 12:18,05/01/2021 12:33,238,161,0,4.4,3.75,22.55
1,05/01/2021 12:53,05/01/2021 12:59,186,137,0,1.0,0.0,9.3
1,05/01/2021 12:10,05/01/2021 12:25,163,107,0,2.6,4.85,21.15
1,05/01/2021 12:43,05/01/2021 12:53,161,239,0,1.8,1.5,14.8
1,05/01/2021 12:04,05/01/2021 12:16,236,142,0,2.2,0.0,13.8
1,05/01/2021 12:23,05/01/2021 12:27,163,162,0,0.4,1.55,9.35
1,05/01/2021 12:00,05/01/2021 12:13,143,237,0,2.2,0.0,13.8
1,05/01/2021 12:29,05/01/2021 12:48,262,48,0,3.1,0.0,17.8
1,05/01/2021 12:57,05/01/2021 13:06,162,236,0,1.8,1.0,13.3
1,05/01/2021 12:52,05/01/2021 12:57,137,229,0,1.4,2.0,11.3
1,05/01/2021 12:53,05/01/2021 13:05,233,237,0,2.3,4.1,17.9
1,05/01/2021 12:24,05/01/2021 12:38,142,162,0,2.1,3.55,17.85
1,05/01/2021 12:58,05/01/2021 13:03,162,229,0,0.5,2.45,10.75
1,05/01/2021 12:21,05/01/2021 12:43,43,79,0,5.9,2.0,27.3
1,05/01/2021 12:53,05/01/2021 12:57,164,233,0,0.8,1.65,9.95
1,05/01/2021 12:58,05/01/2021 13:05,233,107,0,1.3,2.55,12.85
1,05/01/2021 12:52,05/01/2021 13:05,163,236,0,1.8,3.0,16.3
1,05/01/2021 12:07,05/01/2021 12:16,163,107,0,2.1,2.55,15.35
1,05/01/2021 12:37,05/01/2021 12:44,170,230,0,1.1,1.0,11.3
1,05/01/2021 12:48,05/01/2021 12:51,230,186,0,0.8,2.0,10.3
1,05/01/2021 12:58,05/01/2021 13:04,90,113,0,1.0,1.95,11.75
1,05/01/2021 12:27,05/01/2021 12:33,237,237,0,0.5,2.2,11.0
1,05/01/2021 13:07,05/01/2021 13:32,186,233,0,2.7,0.0,19.3
1,05/01/2021 13:17,05/01/2021 13:25,162,113,0,2.1,1.77,13.57
1,05/01/2021 13:23,05/01/2021 13:25,163,162,0,0.2,1.35,8.15
1,05/01/2021 13:40,05/01/2021 13:46,229,141,0,1.2,0.0,9.8
1,05/01/2021 13:47,05/01/2021 13:56,237,142,0,1.4,1.13,12.43
1,05/01/2021 13:58,05/01/2021 14:04,142,239,0,1.0,0.0,9.8
1,05/01/2021 13:40,05/01/2021 13:57,68,211,0,2.7,3.15,18.95
1,05/01/2021 13:35,05/01/2021 13:55,162,249,0,2.9,2.0,20.3
1,05/01/2021 13:44,05/01/2021 14:03,140,170,0,2.9,3.45,20.75
1,05/01/2021 13:16,05/01/2021 13:32,114,239,0,4.9,4.06,24.36
1,05/01/2021 13:37,05/01/2021 13:48,43,140,0,1.7,1.0,13.8
1,05/01/2021 13:46,05/01/2021 13:52,239,238,0,1.0,0.0,9.8
1,05/01/2021 13:26,05/01/2021 13:46,75,138,0,8.2,7.0,39.42
1,05/01/2021 13:34,05/01/2021 13:57,142,114,0,4.3,5.2,26.0
1,05/01/2021 13:34,05/01/2021 13:56,239,211,0,4.6,5.2,26.0
1,05/01/2021 13:46,05/01/2021 14:02,140,75,0,2.1,3.05,18.35
1,05/01/2021 13:48,05/01/2021 13:55,237,140,0,0.7,0.0,8.8
1,05/01/2021 13:59,05/01/2021 14:04,141,233,0,1.0,1.32,10.12
1,05/01/2021 13:28,05/01/2021 13:29,42,42,0,0.2,0.0,3.8
1,05/01/2021 13:36,05/01/2021 13:51,144,217,0,2.9,2.0,18.3
1,05/01/2021 13:11,05/01/2021 13:19,100,231,0,2.3,2.35,14.15
1,05/01/2021 13:34,05/01/2021 13:46,88,232,0,1.8,2.45,14.75
1,05/01/2021 13:08,05/01/2021 13:23,161,246,0,1.9,2.0,16.8
1,05/01/2021 13:26,05/01/2021 13:37,246,230,0,1.9,0.0,12.8
1,05/01/2021 13:05,05/01/2021 13:19,137,83,0,6.0,0.0,28.42
1,05/01/2021 13:49,05/01/2021 13:55,107,249,0,1.0,1.96,11.76
1,05/01/2021 13:58,05/01/2021 14:22,90,41,0,5.5,0.0,23.8
1,05/01/2021 13:34,05/01/2021 13:53,166,237,0,3.6,3.75,22.55
1,05/01/2021 13:45,05/01/2021 14:00,151,237,0,2.8,3.16,18.96
1,05/01/2021 13:05,05/01/2021 13:23,107,236,0,3.6,10.0,28.8
1,05/01/2021 13:29,05/01/2021 13:42,263,151,0,1.9,2.65,15.95
1,05/01/2021 13:42,05/01/2021 13:49,68,230,0,2.0,0.0,11.8
1,05/01/2021 13:08,05/01/2021 13:10,229,140,0,0.5,1.46,8.76
1,05/01/2021 13:13,05/01/2021 13:17,140,237,0,0.6,1.65,9.95
1,05/01/2021 13:44,05/01/2021 13:52,140,229,0,0.9,1.96,11.76
1,05/01/2021 13:42,05/01/2021 13:52,141,170,0,1.8,0.0,12.3
1,05/01/2021 13:12,05/01/2021 13:17,152,166,0,0.8,0.0,6.3
1,05/01/2021 13:21,05/01/2021 13:36,166,142,0,3.2,3.25,19.55
1,05/01/2021 13:33,05/01/2021 13:47,48,141,0,2.7,0.0,15.3
1,05/01/2021 13:54,05/01/2021 14:13,140,243,0,7.9,0.0,27.8
1,05/01/2021 13:07,05/01/2021 13:21,237,234,0,2.7,2.0,17.8
1,05/01/2021 13:35,05/01/2021 13:38,230,163,0,0.6,1.95,9.75
1,05/01/2021 13:41,05/01/2021 13:48,163,239,0,1.5,3.0,13.3
1,05/01/2021 13:54,05/01/2021 14:19,43,211,0,4.9,1.0,23.8
1,05/01/2021 13:00,05/01/2021 13:31,236,7,0,5.3,2.0,28.3
1,05/01/2021 13:53,05/01/2021 13:57,229,233,0,0.9,1.66,9.96
1,05/01/2021 13:50,05/01/2021 13:56,170,113,0,1.7,0.0,10.8
1,05/01/2021 13:04,05/01/2021 13:25,151,119,0,8.2,0.0,26.3
1,05/01/2021 13:08,05/01/2021 13:22,137,50,0,2.4,2.85,17.15
1,05/01/2021 13:24,05/01/2021 13:31,161,239,0,1.8,10.0,22.3
1,05/01/2021 13:39,05/01/2021 13:43,142,143,0,0.5,1.0,9.8
1,05/01/2021 13:01,05/01/2021 13:07,234,161,0,1.3,0.0,9.8
1,05/01/2021 13:49,05/01/2021 14:01,142,236,0,1.6,3.2,16.0
1,05/01/2021 13:45,05/01/2021 13:57,141,163,0,1.6,3.2,16.0
1,05/01/2021 13:54,05/01/2021 14:01,140,141,0,1.1,1.0,10.3
1,05/01/2021 13:30,05/01/2021 13:34,162,137,0,0.9,1.75,10.55
1,05/01/2021 13:41,05/01/2021 13:51,107,113,0,1.4,0.0,11.3
1,05/01/2021 13:09,05/01/2021 13:32,68,247,0,10.7,0.0,35.8
1,05/01/2021 13:13,05/01/2021 13:20,229,140,0,1.1,0.49,10.29
1,05/01/2021 13:36,05/01/2021 14:10,262,249,0,5.1,0.0,26.3
1,05/01/2021 13:20,05/01/2021 13:31,162,140,0,1.8,3.0,15.3
1,05/01/2021 13:10,05/01/2021 13:31,234,238,0,3.4,3.95,23.75
1,05/01/2021 13:37,05/01/2021 13:44,239,236,0,1.3,2.0,12.8
1,05/01/2021 13:49,05/01/2021 14:02,237,233,0,1.7,1.5,15.3
1,05/01/2021 13:55,05/01/2021 13:59,262,75,0,0.7,2.45,10.75
1,05/01/2021 14:08,05/01/2021 14:15,186,170,0,0.6,0.0,8.8
1,05/01/2021 14:06,05/01/2021 14:13,239,151,0,1.1,2.05,12.35
1,05/01/2021 14:15,05/01/2021 14:23,151,239,0,1.1,2.05,12.35
1,05/01/2021 14:03,05/01/2021 14:08,43,143,0,0.7,1.65,9.95
1,05/01/2021 14:49,05/01/2021 15:09,90,236,0,3.9,1.0,19.8
